1475436488 0 0 1
1476194724 0 1 1
1476194793 0 2 1
1476194892 0 3 1
1476195056 0 4 1
1476195944 0 5 1
1476225212 0 6 1
1476225355 0 7 1
1476225415 0 8 1
1476225445 0 9 1
1476225544 0 10 1
1476367931 0 11 1
1476799817 0 12 1
1476799901 0 13 1
1477073239 0 14 1
1477073292 0 15 1
1477073408 0 16 1
1477073544 0 17 1
1477074325 0 18 1
1477074439 0 19 1
1477160547 0 20 1
1477333452 1 20 1
1477362520 1 21 1
1478004464 2 21 1
1478179419 3 21 1
1478179662 4 21 1
1478181267 5 21 1
1478367738 6 21 1
1478367874 7 21 1
1478835305 8 21 1
1478835329 9 21 1
1478835456 10 21 1
1478885613 11 21 1
1479096303 12 21 1
1479096569 13 21 1
1479150134 14 21 1
1479150270 15 21 1
1479221406 16 21 1
1479391431 17 21 1
1479391543 18 21 1
1479394011 19 21 1
1479395196 20 21 1
1479395246 21 21 1
1479395415 22 21 1
1479435298 23 21 1
1479494870 24 21 1
1479738998 25 21 1
1480958776 26 21 1
1480958862 27 21 1
1481324444 28 21 1
1481327857 29 21 1
1483396847 29 22 1
1483396937 30 22 1
1483487753 30 23 1
1483510985 31 23 1
1484928823 32 23 1
1484933391 32 24 1
1484934514 32 25 1
1484941620 32 26 1
1484943927 32 27 1
1485640177 33 27 1
1485640194 34 27 1
1485640676 35 27 1
1485640887 35 28 1
1485640939 35 29 1
